word,frequency,ratio
분석,153,0.11434977578475336
단어,121,0.09043348281016443
데이터,119,0.08893871449925261
처리,94,0.07025411061285501
제거,90,0.06726457399103139
문장,82,0.061285500747384154
형태소,76,0.05680119581464873
자연어,74,0.05530642750373692
의미,72,0.053811659192825115
단위,62,0.04633781763826607
토큰,54,0.04035874439461883
과정,49,0.03662182361733931
용어,49,0.03662182361733931
사용,41,0.030642750373692077
예시,40,0.029895366218236172
텍스트,37,0.02765321375186846
한글,33,0.02466367713004484
문자,32,0.02391629297458894
이용,32,0.02391629297458894
특수문자,28,0.02092675635276532
